user_id,country,age_group,gender,customer_tier,preferred_sport,registration_date,is_active
1,Australia,25-34,Male,Bronze,Ice Hockey,2023-10-17,True
2,Canada,25-34,Male,Silver,Football,2022-04-25,True
3,United Kingdom,45-54,Male,Silver,Football,2022-01-26,True
4,United Kingdom,25-34,Male,Bronze,Basketball,2022-10-09,False
5,Australia,45-54,Male,Bronze,Tennis,2022-09-08,True
6,Australia,18-24,Female,Bronze,Ice Hockey,2022-08-17,True
7,Australia,35-44,Male,Bronze,Baseball,2022-05-23,True
8,New Zealand,45-54,Male,Silver,Football,2022-04-15,True
9,United Kingdom,25-34,Female,Silver,Ice Hockey,2023-11-24,True
10,United Kingdom,25-34,Female,Bronze,Football,2023-07-13,True
11,Australia,18-24,Female,Bronze,Tennis,2022-03-31,False
12,Canada,35-44,Female,Bronze,Football,2023-08-28,True
13,Ireland,35-44,Female,VIP,Football,2023-03-09,True
14,Australia,35-44,Male,Bronze,Football,2022-02-02,True
15,Australia,25-34,Male,Gold,Football,2022-01-31,True
16,Australia,25-34,Male,Gold,Handball,2022-04-06,True
17,Australia,18-24,Male,Silver,Ice Hockey,2022-08-12,False
18,Australia,25-34,Male,Silver,Baseball,2022-08-27,True
19,Australia,35-44,Male,Bronze,Basketball,2023-06-02,False
20,Australia,45-54,Male,Silver,Football,2023-09-09,False
21,United Kingdom,35-44,Male,Bronze,Football,2022-01-28,True
22,Australia,25-34,Male,Gold,Football,2023-07-29,True
23,Australia,55+,Female,Bronze,Football,2022-07-23,True
24,Australia,35-44,Male,Silver,Basketball,2023-10-28,True
25,Australia,55+,Female,Bronze,Tennis,2023-12-20,True
26,Ireland,25-34,Male,Gold,Football,2023-07-13,True
27,Australia,25-34,Female,Bronze,Football,2023-03-06,True
28,Australia,18-24,Female,Silver,Football,2022-08-14,False
29,United Kingdom,35-44,Male,Bronze,Football,2023-04-05,True
30,Australia,18-24,Male,Bronze,Football,2023-08-27,True
31,United Kingdom,25-34,Male,Silver,Rugby,2022-10-12,True
32,Australia,35-44,Female,Gold,Football,2022-01-07,True
33,Australia,35-44,Female,Bronze,Ice Hockey,2022-06-13,True
34,New Zealand,35-44,Female,Gold,Football,2023-12-16,False
35,Canada,18-24,Male,Silver,Football,2023-03-09,False
36,Ireland,25-34,Male,Gold,Rugby,2022-12-15,True
37,Australia,35-44,Female,Bronze,Tennis,2022-10-12,True
38,Australia,55+,Male,Bronze,Football,2022-06-09,True
39,United Kingdom,35-44,Male,Gold,Handball,2022-08-09,True
40,Australia,55+,Male,Bronze,Football,2022-12-11,False
41,Australia,35-44,Female,Silver,Football,2022-04-15,False
42,Australia,35-44,Male,Bronze,Ice Hockey,2022-04-05,True
43,Australia,25-34,Male,Bronze,Ice Hockey,2023-01-25,True
44,New Zealand,35-44,Male,Silver,Football,2022-04-10,True
45,Australia,35-44,Female,Silver,Football,2023-01-03,True
46,United Kingdom,35-44,Male,Silver,Volleyball,2022-12-19,True
47,Australia,25-34,Male,Bronze,Football,2023-09-11,True
48,Australia,25-34,Male,Bronze,Football,2022-09-28,True
49,Australia,25-34,Female,Bronze,Tennis,2022-02-14,True
50,Australia,25-34,Female,Bronze,Handball,2023-04-16,True
51,Canada,25-34,Female,Gold,Football,2023-07-04,True
52,Ireland,45-54,Male,Silver,Rugby,2022-05-08,True
53,New Zealand,25-34,Female,Bronze,Tennis,2023-01-23,True
54,New Zealand,18-24,Male,Gold,Tennis,2022-03-22,True
55,United Kingdom,25-34,Male,Bronze,Ice Hockey,2023-07-20,False
56,New Zealand,35-44,Male,Silver,Baseball,2022-10-28,True
57,Australia,25-34,Male,Bronze,Football,2023-10-06,False
58,Australia,25-34,Female,Silver,Football,2023-09-26,True
59,Australia,35-44,Male,Bronze,Handball,2023-01-06,True
60,Australia,25-34,Male,Bronze,Basketball,2023-08-15,True
61,Australia,55+,Male,Bronze,Tennis,2022-07-16,True
62,Australia,55+,Male,Bronze,Tennis,2023-12-23,True
63,Ireland,25-34,Male,Bronze,Ice Hockey,2022-03-13,True
64,Australia,25-34,Male,Bronze,Rugby,2022-02-16,True
65,Australia,35-44,Male,Bronze,Handball,2023-11-09,True
66,Australia,18-24,Male,Silver,Tennis,2022-08-22,True
67,Australia,25-34,Male,Bronze,Football,2022-10-24,True
68,Ireland,25-34,Female,Silver,Basketball,2022-03-23,False
69,Australia,55+,Male,Bronze,Tennis,2022-08-27,False
70,Canada,18-24,Female,Gold,Basketball,2022-04-14,True
71,Ireland,35-44,Female,Gold,Tennis,2023-01-25,True
72,Australia,35-44,Female,Bronze,Football,2022-10-12,True
73,Australia,25-34,Male,Silver,Tennis,2023-04-10,False
74,Ireland,18-24,Male,Bronze,Ice Hockey,2023-10-13,True
75,United Kingdom,55+,Female,Gold,Rugby,2023-01-09,False
76,United Kingdom,25-34,Male,Silver,Tennis,2022-06-16,True
77,Ireland,35-44,Male,Bronze,Football,2023-01-15,False
78,Australia,25-34,Male,Bronze,Tennis,2022-12-30,True
79,Australia,25-34,Male,Bronze,Rugby,2022-08-03,True
80,Australia,25-34,Female,Bronze,Tennis,2023-11-18,True
81,New Zealand,18-24,Male,Silver,Ice Hockey,2022-10-01,False
82,United Kingdom,18-24,Male,Bronze,Tennis,2023-12-20,False
83,Australia,45-54,Male,Bronze,Football,2023-12-01,True
84,Australia,25-34,Male,Bronze,Rugby,2023-10-26,True
85,Australia,25-34,Male,Bronze,Football,2022-03-15,True
86,Australia,25-34,Male,Bronze,Tennis,2023-09-16,True
87,United Kingdom,35-44,Male,Gold,Football,2023-10-13,False
88,United Kingdom,18-24,Male,Bronze,Football,2022-06-25,True
89,New Zealand,35-44,Female,Silver,Tennis,2023-07-01,True
90,Australia,18-24,Male,Bronze,Tennis,2022-09-08,True
91,Australia,18-24,Male,Bronze,Ice Hockey,2022-06-17,True
92,United Kingdom,18-24,Male,Silver,Ice Hockey,2023-04-19,False
93,Ireland,45-54,Male,Bronze,Ice Hockey,2023-01-24,True
94,United Kingdom,18-24,Female,Bronze,Tennis,2022-10-04,True
95,Ireland,18-24,Female,Silver,Basketball,2023-10-18,True
96,Australia,25-34,Male,Bronze,Tennis,2023-12-06,True
97,Australia,45-54,Male,Bronze,Tennis,2023-07-25,True
98,Australia,25-34,Female,Silver,Basketball,2022-08-13,False
99,Australia,25-34,Male,Silver,Snooker,2023-12-03,True
100,Australia,18-24,Male,Bronze,Football,2022-11-29,False
101,Australia,25-34,Female,Bronze,Handball,2022-02-27,True
102,United Kingdom,35-44,Male,Bronze,Football,2022-08-23,False
103,Australia,35-44,Female,Bronze,Football,2022-02-02,True
104,Australia,25-34,Male,Silver,Football,2022-11-20,True
105,New Zealand,25-34,Male,Gold,Basketball,2023-02-15,True
106,Australia,18-24,Male,Gold,Football,2022-10-02,False
107,Australia,25-34,Male,Bronze,Handball,2022-03-09,True
108,Ireland,18-24,Male,Bronze,Rugby,2022-08-05,True
109,Australia,35-44,Male,Silver,Basketball,2023-08-04,False
110,Australia,55+,Male,Bronze,Tennis,2022-11-19,True
111,Australia,55+,Male,Silver,Snooker,2022-08-06,True
112,Australia,45-54,Male,Silver,Volleyball,2023-11-03,True
113,New Zealand,35-44,Male,Gold,Tennis,2023-05-27,True
114,Ireland,35-44,Male,Bronze,Ice Hockey,2023-02-10,True
115,United Kingdom,25-34,Male,Bronze,Tennis,2023-10-21,True
116,New Zealand,35-44,Male,Gold,Basketball,2023-04-15,True
117,Ireland,25-34,Male,Silver,Football,2022-05-27,True
118,Australia,25-34,Male,Gold,Tennis,2022-09-29,True
119,New Zealand,35-44,Male,Bronze,Football,2022-05-23,True
120,Australia,25-34,Female,Silver,Football,2022-09-10,True
121,Ireland,25-34,Male,Silver,Ice Hockey,2023-07-29,True
122,New Zealand,55+,Male,Bronze,Baseball,2023-07-06,False
123,Australia,18-24,Female,Silver,Baseball,2022-09-27,False
124,Australia,25-34,Male,Silver,Tennis,2023-08-22,False
125,Australia,45-54,Male,Bronze,Basketball,2023-03-15,True
126,Australia,35-44,Female,Bronze,Football,2023-08-21,False
127,Ireland,35-44,Male,Silver,Ice Hockey,2023-02-13,False
128,New Zealand,25-34,Female,Bronze,Football,2023-01-06,True
129,Australia,25-34,Male,Gold,Football,2022-08-13,True
130,Australia,45-54,Male,Bronze,Basketball,2022-05-22,True
131,Australia,35-44,Female,Bronze,Football,2023-06-06,True
132,Australia,25-34,Male,VIP,Football,2023-05-21,False
133,Australia,18-24,Male,Gold,Volleyball,2022-04-04,True
134,Australia,18-24,Male,Bronze,Football,2022-02-18,True
135,New Zealand,55+,Male,Silver,Football,2022-04-23,True
136,Australia,25-34,Male,Bronze,Football,2022-06-06,True
137,Australia,35-44,Male,Bronze,Football,2023-10-05,True
138,United Kingdom,18-24,Male,Bronze,Football,2022-06-13,False
139,Australia,35-44,Male,Bronze,Rugby,2023-11-28,True
140,Canada,55+,Male,Gold,Football,2023-03-09,False
141,Canada,35-44,Male,Silver,Rugby,2023-09-03,True
142,Australia,18-24,Male,VIP,Football,2022-03-07,True
143,Australia,35-44,Female,Silver,Tennis,2023-01-30,True
144,Australia,35-44,Male,Bronze,Ice Hockey,2023-01-26,False
145,Australia,25-34,Male,Silver,Basketball,2023-09-03,True
146,Australia,45-54,Female,VIP,Basketball,2023-04-25,True
147,United Kingdom,35-44,Female,Silver,Snooker,2023-06-26,True
148,Australia,45-54,Male,Silver,Football,2022-09-15,False
149,Australia,35-44,Female,Gold,Tennis,2023-07-21,True
150,Australia,18-24,Male,Bronze,Handball,2022-01-12,True
151,New Zealand,25-34,Female,Silver,Football,2023-11-28,True
152,Australia,25-34,Male,Gold,Football,2022-04-28,True
153,Australia,45-54,Male,VIP,Football,2023-11-30,False
154,Australia,35-44,Male,Bronze,Basketball,2023-07-04,False
155,Canada,35-44,Female,Silver,Football,2022-10-01,True
156,Australia,25-34,Male,Silver,Football,2023-10-19,False
157,United Kingdom,25-34,Male,Bronze,Tennis,2022-12-15,True
158,Ireland,35-44,Male,Silver,Basketball,2022-04-25,True
159,Australia,25-34,Female,Bronze,Football,2022-10-28,False
160,United Kingdom,25-34,Female,Bronze,Football,2023-03-22,True
161,Australia,35-44,Male,Bronze,Basketball,2022-06-11,True
162,United Kingdom,18-24,Male,Silver,Snooker,2023-04-10,True
163,United Kingdom,25-34,Male,Bronze,Basketball,2022-01-04,True
164,Australia,25-34,Male,Bronze,Rugby,2022-09-27,True
165,Australia,18-24,Female,Bronze,Football,2023-05-28,True
166,Ireland,55+,Male,Bronze,Football,2022-07-02,False
167,Australia,25-34,Male,Bronze,Tennis,2023-06-04,True
168,Australia,18-24,Male,Bronze,Rugby,2022-04-19,True
169,Australia,25-34,Male,Silver,Tennis,2023-10-03,False
170,United Kingdom,35-44,Male,Silver,Volleyball,2022-11-02,True
171,United Kingdom,25-34,Male,Bronze,Table Tennis,2023-10-17,True
172,Australia,35-44,Male,Bronze,Football,2023-06-04,True
173,Australia,18-24,Male,Silver,Football,2023-09-16,True
174,Australia,18-24,Male,Bronze,Football,2022-07-23,True
175,United Kingdom,25-34,Male,VIP,Football,2022-06-06,True
176,Australia,45-54,Male,Silver,Football,2023-01-18,False
177,United Kingdom,45-54,Female,Bronze,Volleyball,2022-06-15,False
178,Australia,18-24,Male,Bronze,Football,2023-07-07,False
179,New Zealand,35-44,Male,Silver,Football,2023-06-28,True
180,Australia,45-54,Female,Bronze,Football,2022-01-01,True
181,Australia,25-34,Male,Bronze,Snooker,2023-09-06,False
182,Australia,45-54,Male,Bronze,Basketball,2022-11-28,True
183,New Zealand,18-24,Male,Silver,Handball,2023-05-16,False
184,New Zealand,55+,Male,Silver,Baseball,2022-01-20,True
185,Australia,35-44,Male,Bronze,Tennis,2022-04-25,True
186,United Kingdom,55+,Male,Silver,Football,2023-01-07,True
187,Ireland,35-44,Female,Bronze,Football,2022-11-11,True
188,United Kingdom,25-34,Female,Silver,Football,2022-09-03,True
189,Australia,55+,Male,Bronze,Ice Hockey,2022-03-01,True
190,Australia,25-34,Male,Silver,Football,2022-09-04,True
191,Australia,25-34,Male,VIP,Football,2023-08-04,False
192,New Zealand,35-44,Male,Bronze,Basketball,2022-03-22,False
193,New Zealand,35-44,Male,Bronze,Basketball,2022-03-29,True
194,United Kingdom,55+,Female,Bronze,Basketball,2023-05-13,True
195,Australia,25-34,Male,Bronze,Football,2022-03-12,True
196,Australia,45-54,Female,Bronze,Rugby,2023-06-30,True
197,United Kingdom,35-44,Male,Gold,Tennis,2022-05-09,True
198,New Zealand,18-24,Female,Gold,Football,2022-05-12,True
199,New Zealand,25-34,Male,Bronze,Rugby,2023-11-07,False
200,Ireland,25-34,Male,Silver,Baseball,2023-05-02,False
201,United Kingdom,25-34,Male,Silver,Football,2023-07-17,True
202,Australia,55+,Male,Silver,Football,2022-06-19,True
203,Australia,35-44,Male,Bronze,Tennis,2022-09-29,True
204,New Zealand,35-44,Male,Bronze,Football,2023-06-25,True
205,United Kingdom,55+,Male,Bronze,Volleyball,2023-09-14,True
206,Australia,25-34,Male,Bronze,Football,2023-03-10,True
207,Australia,45-54,Female,Silver,Rugby,2022-08-05,True
208,United Kingdom,25-34,Male,Silver,Basketball,2023-07-07,True
209,Australia,45-54,Male,Bronze,Basketball,2023-12-08,True
210,Australia,25-34,Male,Bronze,Football,2022-07-25,True
211,Australia,55+,Female,Gold,Football,2022-11-16,True
212,United Kingdom,25-34,Male,Silver,Football,2023-02-13,True
213,United Kingdom,25-34,Male,Gold,Football,2023-11-19,True
214,Australia,35-44,Male,Bronze,Football,2023-10-28,True
215,United Kingdom,25-34,Female,Silver,Volleyball,2023-01-18,True
216,Australia,35-44,Female,Silver,Football,2023-03-25,True
217,Australia,25-34,Male,Gold,Ice Hockey,2023-06-14,True
218,United Kingdom,35-44,Male,Bronze,Tennis,2023-04-08,True
219,United Kingdom,25-34,Male,Bronze,Rugby,2022-05-04,True
220,Ireland,18-24,Male,Bronze,Baseball,2022-09-11,True
221,United Kingdom,25-34,Male,Gold,Football,2022-08-19,False
222,United Kingdom,25-34,Female,Gold,Volleyball,2022-03-07,False
223,Australia,18-24,Female,VIP,Basketball,2022-12-13,True
224,Australia,25-34,Male,VIP,Rugby,2022-01-22,False
225,Australia,25-34,Male,Bronze,Basketball,2023-08-26,True
226,Australia,18-24,Male,Bronze,Tennis,2023-07-22,False
227,Canada,35-44,Male,Bronze,Football,2022-08-24,True
228,Australia,45-54,Female,Bronze,Football,2023-08-26,True
229,New Zealand,18-24,Male,Gold,Tennis,2022-08-14,True
230,United Kingdom,35-44,Male,Gold,Table Tennis,2022-01-08,True
231,Ireland,35-44,Male,Bronze,Ice Hockey,2022-03-14,False
232,Australia,25-34,Male,Silver,Football,2023-12-26,True
